GeneName	Description	Process	Comment
BOK	The protein encoded by this gene belongs to the BCL2 family, members of which form homo- or heterodimers, and act as anti- or proapoptotic regulators that are involved in a wide variety of cellular processes. Studies in rat show that this protein has restricted expression in reproductive tissues, interacts strongly with some antiapoptotic BCL2 proteins, not at all with proapoptotic BCL2 proteins, and induces apoptosis in transfected cells. Thus, this protein represents a proapoptotic member of the BCL2 family. [provided by RefSeq, Sep 2011],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CASP2	Involved in the activation cascade of caspases responsible for apoptosis execution. Might function by either activating some proteins required for cell death or inactivating proteins necessary for cell survival	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CASP3	Involved in the activation cascade of caspases responsible for apoptosis execution. At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond. Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop- helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9. Involved in the cleavage of huntingtin	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CASP7	Involved in the activation cascade of caspases responsible for apoptosis execution. Cleaves and activates sterol regulatory element binding proteins (SREBPs). Proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly- 217' bond. Overexpression promotes programmed cell death	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CASP9	Involved in the activation cascade of caspases responsible for apoptosis execution. Binding of caspase-9 to Apaf- 1 leads to activation of the protease which then cleaves and activates caspase-3. Proteolytically cleaves poly(ADP-ribose) polymerase (PARP)Isoform 2 lacks activity is an dominant-negative inhibitor of caspase-9	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CSNK2A1	Casein kinase II is a serine/threonine protein kinase that phosphorylates acidic proteins such as casein. It is involved in various cellular processes, including cell cycle control, apoptosis, and circadian rhythm. The kinase exists as a tetramer and is composed of an alpha, an alpha-prime, and two beta subunits. The alpha subunits contain the catalytic activity while the beta subunits undergo autophosphorylation. The protein encoded by this gene represents the alpha subunit.	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
CTSB	Thiol protease which is believed to participate in intracellular degradation and turnover of proteins. Has also been implicated in tumor invasion and metastasis	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
DELE1	extrinsic apoptotic signaling pathway via death domain receptors	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
DYNLL1	Binds and inhibits the catalytic activity of neuronal nitric oxide synthaseMay be involved in some aspects of dynein-related intracellular transport and motility. May play a role in changing or maintaining the spatial distribution of cytoskeletal structures	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
MAPK1	This gene encodes a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. The activation of this kinase requires its phosphorylation by upstream kinases. Upon activation, this kinase translocates to the nucleus of the stimulated cells, where it phosphorylates nuclear targets. One study also suggests that this protein acts as a transcriptional repressor independent of its kinase activity. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. Two alternatively spliced transcript variants encoding the same protein, but differing in the UTRs, have been reported for this gene. [provided by RefSeq, Jan 2014],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
MAPK3	The protein encoded by this gene is a member of the MAP kinase family. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act in a signaling cascade that regulates various cellular processes such as proliferation, differentiation, and cell cycle progression in response to a variety of extracellular signals. This kinase is activated by upstream kinases, resulting in its translocation to the nucleus where it phosphorylates nuclear targets. Alternatively spliced transcript variants encoding different protein isoforms have been described. [provided by RefSeq, Jul 2008],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
MAPK8	The protein encoded by this gene is a member of the MAP kinase family. MAP kinases act as an integration point for multiple biochemical signals, and are involved in a wide variety of cellular processes such as proliferation, differentiation, transcription regulation and development. This kinase is activated by various cell stimuli, and targets specific transcription factors, and thus mediates immediate-early gene expression in response to cell stimuli. The activation of this kinase by tumor-necrosis factor alpha (TNF-alpha) is found to be required for TNF-alpha induced apoptosis. This kinase is also involved in UV radiation induced apoptosis, which is thought to be related to cytochrom c-mediated cell death pathway. Studies of the mouse counterpart of this gene suggested that this kinase play a key role in T cell proliferation, apoptosis and differentiation. Several alternatively spliced transcript variants encoding distinct isoforms have been reported. 	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
MCL1	This gene encodes an anti-apoptotic protein, which is a member of the Bcl-2 family. Alternative splicing results in multiple transcript variants. The longest gene product (isoform 1) enhances cell survival by inhibiting apoptosis while the alternatively spliced shorter gene products (isoform 2 and isoform 3) promote apoptosis and are death-inducing. [provided by RefSeq, Oct 2010],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
PACRG	This gene encodes a protein that is conserved across metazoans. In vertebrates, this gene is linked in a head-to-head arrangement with the adjacent parkin gene, which is associated with autosomal recessive juvenile Parkinson&apos;s disease. These genes are co-regulated in various tissues and they share a bi-directional promoter. Both genes are associated with susceptibility to leprosy. The parkin co-regulated gene protein forms a large molecular complex with chaperones, including heat shock proteins 70 and 90, and chaperonin components. This protein is also a component of Lewy bodies in Parkinson&apos;s disease patients, and it suppresses unfolded Pael receptor-induced neuronal cell death. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008],	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
RPS6KB1	Phosphorylates specifically ribosomal protein S6 in response to insulin or several classes of mitogens	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
TMEM173	Acts as a facilitator of innate immune signaling. Able to activate both NF-kappa-B and IRF3 transcription pathways to induce expression of type I interferon (IFN-alpha and IFN-beta) and exert a potent anti-viral state following expression. May be involved in translocon function, the translocon possibly being able to influence the induction of type I interferons. May be involved in transduction of apoptotic signals via its association with the major histocompatibility complex class II (MHC-II). Mediates death signaling via activation of the extracellular signal-regulated kinase (ERK) pathway	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
XIAP	Apoptotic suppressor. Has E3 ubiquitin-protein ligase activity. Mediates the proteasomal degradation of target proteins, such as caspase-3, SMAC or AIFM1. Inhibitor of caspase-3, -7 and -9. Mediates activation of MAP3K7/TAK1, leading to the activation of NF-kappa-B	Apoptosis	mitomitoXplorer | These genes are present in mitomitoXplorer only
LETMD1	This gene encodes a mitochondrial outer membrane protein. It has a potential role in tumorigenesis, which may result from negative regulation of the p53 tumor suppressor gene. Alternatively spliced transcript variants have been noted for this gene. [provided by RefSeq, Aug 2011],	Apoptosis	present in both datasets 
AIFM1	Possesses significant protein thiol-disulfide oxidase activityProbable oxidoreductase that acts as a caspase- independent mitochondrial effector of apoptotic cell death. Extramitochondrial AIF induces nuclear chromatin condensation and large scale DNA fragmentation (in vitro). Binds to DNA in a sequence-independent manner	Apoptosis	present in both datasets 
GHITM	similarity:Belongs to the BI1 family	Apoptosis	present in both datasets 
MTCH2	The substrate transported is not yet known. Induces mitochondrial depolarization	Apoptosis	present in both datasets 
TRAP1	This gene encodes a mitochondrial chaperone protein that is member of the heat shock protein 90 (HSP90) family. The encoded protein has ATPase activity and interacts with tumor necrosis factor type I. This protein may function in regulating cellular stress responses. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jan 2013],	Apoptosis	present in both datasets 
